a = 000fd750, b = 000fd750, Cin = 0, Cout = 0, S = 001faea0
a = 52448c87, b = be7fa709, Cin = 0, Cout = 1, S = 10c43390
a = 52448c87, b = 6cc8f43c, Cin = 0, Cout = 0, S = bf0d80c3
a = 52448c87, b = 02bca031, Cin = 0, Cout = 0, S = 55012cb8
a = 52448c87, b = a40a0df1, Cin = 0, Cout = 0, S = f64e9a78
a = 52448c87, b = b1921498, Cin = 0, Cout = 1, S = 03d6a11f
a = 52448c87, b = 90de4f58, Cin = 0, Cout = 0, S = e322dbdf
a = 52448c87, b = bbd44d10, Cin = 0, Cout = 1, S = 0e18d997
a = 52448c87, b = 641400b3, Cin = 0, Cout = 0, S = b6588d3a
a = 52448c87, b = aadb2c18, Cin = 0, Cout = 0, S = fd1fb89f
a = 52448c87, b = 4b364f61, Cin = 0, Cout = 0, S = 9d7adbe8
a = 52448c87, b = 1430c55d, Cin = 0, Cout = 0, S = 667551e4
a = 52448c87, b = 365a463f, Cin = 0, Cout = 0, S = 889ed2c6
a = 52448c87, b = 38e6d312, Cin = 0, Cout = 0, S = 8b2b5f99
a = 52448c87, b = 4d9384e9, Cin = 0, Cout = 0, S = 9fd81170
a = 52448c87, b = 6e7969bb, Cin = 0, Cout = 0, S = c0bdf642
a = 52448c87, b = 5a0090e2, Cin = 0, Cout = 0, S = ac451d69
a = 52448c87, b = f79548e7, Cin = 0, Cout = 1, S = 49d9d56e
a = 52448c87, b = f8da31b7, Cin = 0, Cout = 1, S = 4b1ebe3e
a = 52448c87, b = d3f902b6, Cin = 0, Cout = 1, S = 263d8f3d
a = 52448c87, b = 17479f9b, Cin = 0, Cout = 0, S = 698c2c22
a = 52448c87, b = afe62522, Cin = 0, Cout = 1, S = 022ab1a9
a = 52448c87, b = d6580ac2, Cin = 0, Cout = 1, S = 289c9749
a = 52448c87, b = c7b09cf5, Cin = 0, Cout = 1, S = 19f5297c
a = 52448c87, b = d01b45ea, Cin = 0, Cout = 1, S = 225fd271
a = 52448c87, b = 5bb4054a, Cin = 0, Cout = 0, S = adf891d1
a = 52448c87, b = 46cab7fb, Cin = 0, Cout = 0, S = 990f4482
a = 52448c87, b = 01afc5f2, Cin = 0, Cout = 0, S = 53f45279
a = 52448c87, b = d60ff0ae, Cin = 0, Cout = 1, S = 28547d35
a = 52448c87, b = 1c48c2e0, Cin = 0, Cout = 0, S = 6e8d4f67
a = 52448c87, b = 9136cd04, Cin = 0, Cout = 0, S = e37b598b
a = 52448c87, b = 2a8a3b80, Cin = 0, Cout = 0, S = 7ccec807
a = 52448c87, b = 4068f5de, Cin = 0, Cout = 0, S = 92ad8265
a = 52448c87, b = b469dcff, Cin = 0, Cout = 1, S = 06ae6986
a = 52448c87, b = 1d62204b, Cin = 0, Cout = 0, S = 6fa6acd2
a = 52448c87, b = eba8454b, Cin = 0, Cout = 1, S = 3decd1d2
a = 52448c87, b = ed8fc5f5, Cin = 0, Cout = 1, S = 3fd4527c
a = 52448c87, b = ec03ab1d, Cin = 0, Cout = 1, S = 3e4837a4
a = 52448c87, b = 61c1a992, Cin = 0, Cout = 0, S = b4063619
a = 52448c87, b = 61a3a813, Cin = 0, Cout = 0, S = b3e8349a
a = 52448c87, b = 6faec648, Cin = 0, Cout = 0, S = c1f352cf
a = 52448c87, b = 1f79af1d, Cin = 0, Cout = 0, S = 71be3ba4
a = 52448c87, b = c76a69a5, Cin = 0, Cout = 1, S = 19aef62c
a = 52448c87, b = 308f4b4b, Cin = 0, Cout = 0, S = 82d3d7d2
a = 52448c87, b = 27f8eb5e, Cin = 0, Cout = 0, S = 7a3d77e5
a = 52448c87, b = 3fdd76cc, Cin = 0, Cout = 0, S = 92220353
a = 52448c87, b = 608e3420, Cin = 0, Cout = 0, S = b2d2c0a7
a = 52448c87, b = 16122bea, Cin = 0, Cout = 0, S = 6856b871
a = 52448c87, b = 3a354c1e, Cin = 0, Cout = 0, S = 8c79d8a5
a = 52448c87, b = 001c91c2, Cin = 0, Cout = 0, S = 52611e49
a = 52448c87, b = 53a5f236, Cin = 0, Cout = 0, S = a5ea7ebd
a = 52448c87, b = 21cc01c6, Cin = 0, Cout = 0, S = 74108e4d
a = 52448c87, b = 6ae02c17, Cin = 0, Cout = 0, S = bd24b89e
a = 52448c87, b = 3928c908, Cin = 0, Cout = 0, S = 8b6d558f
a = 52448c87, b = 3cf312ca, Cin = 0, Cout = 0, S = 8f379f51
a = 52448c87, b = c7f6d3dc, Cin = 0, Cout = 1, S = 1a3b6063
a = 52448c87, b = d231a019, Cin = 0, Cout = 1, S = 24762ca0
a = dbd68233, b = 000fd750, Cin = 0, Cout = 0, S = dbe65983
a = dbd68233, b = 00046831, Cin = 0, Cout = 0, S = dbdaea64
a = dbd68233, b = 000d8e15, Cin = 0, Cout = 0, S = dbe41048
a = dbd68233, b = aa21deaf, Cin = 0, Cout = 1, S = 85f860e2
a = dbd68233, b = 33b278c3, Cin = 0, Cout = 1, S = 0f88faf6
a = dbd68233, b = 627ecaf3, Cin = 0, Cout = 1, S = 3e554d26
a = dbd68233, b = 34d72f2d, Cin = 0, Cout = 1, S = 10adb160
a = dbd68233, b = e2e08ab9, Cin = 0, Cout = 1, S = beb70cec
a = dbd68233, b = 2f2bb91f, Cin = 0, Cout = 1, S = 0b023b52
a = dbd68233, b = 758e1030, Cin = 0, Cout = 1, S = 51649263
a = dbd68233, b = fb5d968d, Cin = 0, Cout = 1, S = d73418c0
a = dbd68233, b = 3e4aff0f, Cin = 0, Cout = 1, S = 1a218142
a = dbd68233, b = ff2394c7, Cin = 0, Cout = 1, S = dafa16fa
a = dbd68233, b = ce62f445, Cin = 0, Cout = 1, S = aa397678
a = dbd68233, b = 52448c87, Cin = 0, Cout = 1, S = 2e1b0eba
a = dbd68233, b = dbd68233, Cin = 0, Cout = 1, S = b7ad0466
a = dbd68233, b = 43612820, Cin = 0, Cout = 1, S = 1f37aa53
a = dbd68233, b = ed72357f, Cin = 0, Cout = 1, S = c948b7b2
a = dbd68233, b = c9cf911c, Cin = 0, Cout = 1, S = a5a6134f
a = dbd68233, b = f2332a08, Cin = 0, Cout = 1, S = ce09ac3b
a = dbd68233, b = 9a071031, Cin = 0, Cout = 1, S = 75dd9264
a = dbd68233, b = ceda8cdd, Cin = 0, Cout = 1, S = aab10f10
a = dbd68233, b = 15f57248, Cin = 0, Cout = 0, S = f1cbf47b
a = dbd68233, b = 08e09e65, Cin = 0, Cout = 0, S = e4b72098
a = dbd68233, b = 87cefc84, Cin = 0, Cout = 1, S = 63a57eb7
a = dbd68233, b = 17b0d618, Cin = 0, Cout = 0, S = f387584b
a = dbd68233, b = dfaa6851, Cin = 0, Cout = 1, S = bb80ea84
a = dbd68233, b = ed3e55e9, Cin = 0, Cout = 1, S = c914d81c
a = dbd68233, b = e3b77c09, Cin = 0, Cout = 1, S = bf8dfe3c
a = dbd68233, b = e8210362, Cin = 0, Cout = 1, S = c3f78595
a = dbd68233, b = bf4a55f3, Cin = 0, Cout = 1, S = 9b20d826
a = dbd68233, b = 740ef8da, Cin = 0, Cout = 1, S = 4fe57b0d
a = dbd68233, b = 9755e11a, Cin = 0, Cout = 1, S = 732c634d
a = dbd68233, b = 1d63ec61, Cin = 0, Cout = 0, S = f93a6e94
a = dbd68233, b = 79260977, Cin = 0, Cout = 1, S = 54fc8baa
a = dbd68233, b = 04095c7e, Cin = 0, Cout = 0, S = dfdfdeb1
a = dbd68233, b = ea50f8c7, Cin = 0, Cout = 1, S = c6277afa
a = dbd68233, b = de4f6266, Cin = 0, Cout = 1, S = ba25e499
a = dbd68233, b = f108a503, Cin = 0, Cout = 1, S = ccdf2736
a = dbd68233, b = e1c38706, Cin = 0, Cout = 1, S = bd9a0939
a = dbd68233, b = b4508388, Cin = 0, Cout = 1, S = 902705bb
a = dbd68233, b = 2923b07c, Cin = 0, Cout = 1, S = 04fa32af
a = dbd68233, b = 2e9feadc, Cin = 0, Cout = 1, S = 0a766d0f
a = dbd68233, b = f3391327, Cin = 0, Cout = 1, S = cf0f955a
a = dbd68233, b = 62fd14a5, Cin = 0, Cout = 1, S = 3ed396d8
a = dbd68233, b = d0f29a5b, Cin = 0, Cout = 1, S = acc91c8e
a = dbd68233, b = 2360e2c1, Cin = 0, Cout = 0, S = ff3764f4
a = dbd68233, b = be7fa709, Cin = 0, Cout = 1, S = 9a56293c
a = dbd68233, b = 6cc8f43c, Cin = 0, Cout = 1, S = 489f766f
a = dbd68233, b = 02bca031, Cin = 0, Cout = 0, S = de932264
a = dbd68233, b = a40a0df1, Cin = 0, Cout = 1, S = 7fe09024
a = dbd68233, b = b1921498, Cin = 0, Cout = 1, S = 8d6896cb
a = dbd68233, b = 90de4f58, Cin = 0, Cout = 1, S = 6cb4d18b
a = dbd68233, b = bbd44d10, Cin = 0, Cout = 1, S = 97aacf43
a = dbd68233, b = 641400b3, Cin = 0, Cout = 1, S = 3fea82e6
a = dbd68233, b = aadb2c18, Cin = 0, Cout = 1, S = 86b1ae4b
a = dbd68233, b = 4b364f61, Cin = 0, Cout = 1, S = 270cd194
a = dbd68233, b = 1430c55d, Cin = 0, Cout = 0, S = f0074790
a = dbd68233, b = 365a463f, Cin = 0, Cout = 1, S = 1230c872
a = dbd68233, b = 38e6d312, Cin = 0, Cout = 1, S = 14bd5545
a = dbd68233, b = 4d9384e9, Cin = 0, Cout = 1, S = 296a071c
a = dbd68233, b = 6e7969bb, Cin = 0, Cout = 1, S = 4a4febee
a = dbd68233, b = 5a0090e2, Cin = 0, Cout = 1, S = 35d71315
a = dbd68233, b = f79548e7, Cin = 0, Cout = 1, S = d36bcb1a
a = dbd68233, b = f8da31b7, Cin = 0, Cout = 1, S = d4b0b3ea
a = dbd68233, b = d3f902b6, Cin = 0, Cout = 1, S = afcf84e9
a = dbd68233, b = 17479f9b, Cin = 0, Cout = 0, S = f31e21ce
a = dbd68233, b = afe62522, Cin = 0, Cout = 1, S = 8bbca755
a = dbd68233, b = d6580ac2, Cin = 0, Cout = 1, S = b22e8cf5
a = dbd68233, b = c7b09cf5, Cin = 0, Cout = 1, S = a3871f28
a = dbd68233, b = d01b45ea, Cin = 0, Cout = 1, S = abf1c81d
a = dbd68233, b = 5bb4054a, Cin = 0, Cout = 1, S = 378a877d
a = dbd68233, b = 46cab7fb, Cin = 0, Cout = 1, S = 22a13a2e
a = dbd68233, b = 01afc5f2, Cin = 0, Cout = 0, S = dd864825
a = dbd68233, b = d60ff0ae, Cin = 0, Cout = 1, S = b1e672e1
a = dbd68233, b = 1c48c2e0, Cin = 0, Cout = 0, S = f81f4513
a = dbd68233, b = 9136cd04, Cin = 0, Cout = 1, S = 6d0d4f37
a = dbd68233, b = 2a8a3b80, Cin = 0, Cout = 1, S = 0660bdb3
a = dbd68233, b = 4068f5de, Cin = 0, Cout = 1, S = 1c3f7811
a = dbd68233, b = b469dcff, Cin = 0, Cout = 1, S = 90405f32
a = dbd68233, b = 1d62204b, Cin = 0, Cout = 0, S = f938a27e
a = dbd68233, b = eba8454b, Cin = 0, Cout = 1, S = c77ec77e
a = dbd68233, b = ed8fc5f5, Cin = 0, Cout = 1, S = c9664828
a = dbd68233, b = ec03ab1d, Cin = 0, Cout = 1, S = c7da2d50
a = dbd68233, b = 61c1a992, Cin = 0, Cout = 1, S = 3d982bc5
a = dbd68233, b = 61a3a813, Cin = 0, Cout = 1, S = 3d7a2a46
a = dbd68233, b = 6faec648, Cin = 0, Cout = 1, S = 4b85487b
a = dbd68233, b = 1f79af1d, Cin = 0, Cout = 0, S = fb503150
a = dbd68233, b = c76a69a5, Cin = 0, Cout = 1, S = a340ebd8
a = dbd68233, b = 308f4b4b, Cin = 0, Cout = 1, S = 0c65cd7e
a = dbd68233, b = 27f8eb5e, Cin = 0, Cout = 1, S = 03cf6d91
a = dbd68233, b = 3fdd76cc, Cin = 0, Cout = 1, S = 1bb3f8ff
a = dbd68233, b = 608e3420, Cin = 0, Cout = 1, S = 3c64b653
a = dbd68233, b = 16122bea, Cin = 0, Cout = 0, S = f1e8ae1d
a = dbd68233, b = 3a354c1e, Cin = 0, Cout = 1, S = 160bce51
a = dbd68233, b = 001c91c2, Cin = 0, Cout = 0, S = dbf313f5
a = dbd68233, b = 53a5f236, Cin = 0, Cout = 1, S = 2f7c7469
a = dbd68233, b = 21cc01c6, Cin = 0, Cout = 0, S = fda283f9
a = dbd68233, b = 6ae02c17, Cin = 0, Cout = 1, S = 46b6ae4a
a = dbd68233, b = 3928c908, Cin = 0, Cout = 1, S = 14ff4b3b
a = dbd68233, b = 3cf312ca, Cin = 0, Cout = 1, S = 18c994fd
a = dbd68233, b = c7f6d3dc, Cin = 0, Cout = 1, S = a3cd560f
a = dbd68233, b = d231a019, Cin = 0, Cout = 1, S = ae08224c
a = 43612820, b = 000fd750, Cin = 0, Cout = 0, S = 4370ff70
a = 43612820, b = 00046831, Cin = 0, Cout = 0, S = 43659051
a = 43612820, b = 000d8e15, Cin = 0, Cout = 0, S = 436eb635
a = 43612820, b = aa21deaf, Cin = 0, Cout = 0, S = ed8306cf
a = 43612820, b = 33b278c3, Cin = 0, Cout = 0, S = 7713a0e3
a = 43612820, b = 627ecaf3, Cin = 0, Cout = 0, S = a5dff313
a = 43612820, b = 34d72f2d, Cin = 0, Cout = 0, S = 7838574d
a = 43612820, b = e2e08ab9, Cin = 0, Cout = 1, S = 2641b2d9
a = 43612820, b = 2f2bb91f, Cin = 0, Cout = 0, S = 728ce13f
a = 43612820, b = 758e1030, Cin = 0, Cout = 0, S = b8ef3850
a = 43612820, b = fb5d968d, Cin = 0, Cout = 1, S = 3ebebead
a = 43612820, b = 3e4aff0f, Cin = 0, Cout = 0, S = 81ac272f
a = 43612820, b = ff2394c7, Cin = 0, Cout = 1, S = 4284bce7
a = 43612820, b = ce62f445, Cin = 0, Cout = 1, S = 11c41c65
a = 43612820, b = 52448c87, Cin = 0, Cout = 0, S = 95a5b4a7
a = 43612820, b = dbd68233, Cin = 0, Cout = 1, S = 1f37aa53
a = 43612820, b = 43612820, Cin = 0, Cout = 0, S = 86c25040
a = 43612820, b = ed72357f, Cin = 0, Cout = 1, S = 30d35d9f
a = 43612820, b = c9cf911c, Cin = 0, Cout = 1, S = 0d30b93c
a = 43612820, b = f2332a08, Cin = 0, Cout = 1, S = 35945228
a = 43612820, b = 9a071031, Cin = 0, Cout = 0, S = dd683851
a = 43612820, b = ceda8cdd, Cin = 0, Cout = 1, S = 123bb4fd
a = 43612820, b = 15f57248, Cin = 0, Cout = 0, S = 59569a68
a = 43612820, b = 08e09e65, Cin = 0, Cout = 0, S = 4c41c685
a = 43612820, b = 87cefc84, Cin = 0, Cout = 0, S = cb3024a4
a = 43612820, b = 17b0d618, Cin = 0, Cout = 0, S = 5b11fe38
a = 43612820, b = dfaa6851, Cin = 0, Cout = 1, S = 230b9071
a = 43612820, b = ed3e55e9, Cin = 0, Cout = 1, S = 309f7e09
a = 43612820, b = e3b77c09, Cin = 0, Cout = 1, S = 2718a429
a = 43612820, b = e8210362, Cin = 0, Cout = 1, S = 2b822b82
a = 43612820, b = bf4a55f3, Cin = 0, Cout = 1, S = 02ab7e13
a = 43612820, b = 740ef8da, Cin = 0, Cout = 0, S = b77020fa
a = 43612820, b = 9755e11a, Cin = 0, Cout = 0, S = dab7093a
a = 43612820, b = 1d63ec61, Cin = 0, Cout = 0, S = 60c51481
a = 43612820, b = 79260977, Cin = 0, Cout = 0, S = bc873197
a = 43612820, b = 04095c7e, Cin = 0, Cout = 0, S = 476a849e
a = 43612820, b = ea50f8c7, Cin = 0, Cout = 1, S = 2db220e7
a = 43612820, b = de4f6266, Cin = 0, Cout = 1, S = 21b08a86
a = 43612820, b = f108a503, Cin = 0, Cout = 1, S = 3469cd23
a = 43612820, b = e1c38706, Cin = 0, Cout = 1, S = 2524af26
a = 43612820, b = b4508388, Cin = 0, Cout = 0, S = f7b1aba8
a = 43612820, b = 2923b07c, Cin = 0, Cout = 0, S = 6c84d89c
a = 43612820, b = 2e9feadc, Cin = 0, Cout = 0, S = 720112fc
a = 43612820, b = f3391327, Cin = 0, Cout = 1, S = 369a3b47
a = 43612820, b = 62fd14a5, Cin = 0, Cout = 0, S = a65e3cc5
a = 43612820, b = d0f29a5b, Cin = 0, Cout = 1, S = 1453c27b
a = 43612820, b = 2360e2c1, Cin = 0, Cout = 0, S = 66c20ae1
a = 43612820, b = be7fa709, Cin = 0, Cout = 1, S = 01e0cf29
a = 43612820, b = 6cc8f43c, Cin = 0, Cout = 0, S = b02a1c5c
a = 43612820, b = 02bca031, Cin = 0, Cout = 0, S = 461dc851
a = 43612820, b = a40a0df1, Cin = 0, Cout = 0, S = e76b3611
a = 43612820, b = b1921498, Cin = 0, Cout = 0, S = f4f33cb8
a = 43612820, b = 90de4f58, Cin = 0, Cout = 0, S = d43f7778
a = 43612820, b = bbd44d10, Cin = 0, Cout = 0, S = ff357530
a = 43612820, b = 641400b3, Cin = 0, Cout = 0, S = a77528d3
a = 43612820, b = aadb2c18, Cin = 0, Cout = 0, S = ee3c5438
a = 43612820, b = 4b364f61, Cin = 0, Cout = 0, S = 8e977781
a = 43612820, b = 1430c55d, Cin = 0, Cout = 0, S = 5791ed7d
a = 43612820, b = 365a463f, Cin = 0, Cout = 0, S = 79bb6e5f
a = 43612820, b = 38e6d312, Cin = 0, Cout = 0, S = 7c47fb32
a = 43612820, b = 4d9384e9, Cin = 0, Cout = 0, S = 90f4ad09
a = 43612820, b = 6e7969bb, Cin = 0, Cout = 0, S = b1da91db
a = 43612820, b = 5a0090e2, Cin = 0, Cout = 0, S = 9d61b902
a = 43612820, b = f79548e7, Cin = 0, Cout = 1, S = 3af67107
a = 43612820, b = f8da31b7, Cin = 0, Cout = 1, S = 3c3b59d7
a = 43612820, b = d3f902b6, Cin = 0, Cout = 1, S = 175a2ad6
a = 43612820, b = 17479f9b, Cin = 0, Cout = 0, S = 5aa8c7bb
a = 43612820, b = afe62522, Cin = 0, Cout = 0, S = f3474d42
a = 43612820, b = d6580ac2, Cin = 0, Cout = 1, S = 19b932e2
a = 43612820, b = c7b09cf5, Cin = 0, Cout = 1, S = 0b11c515
a = 43612820, b = d01b45ea, Cin = 0, Cout = 1, S = 137c6e0a
a = 43612820, b = 5bb4054a, Cin = 0, Cout = 0, S = 9f152d6a
a = 43612820, b = 46cab7fb, Cin = 0, Cout = 0, S = 8a2be01b
a = 43612820, b = 01afc5f2, Cin = 0, Cout = 0, S = 4510ee12
a = 43612820, b = d60ff0ae, Cin = 0, Cout = 1, S = 197118ce
a = 43612820, b = 1c48c2e0, Cin = 0, Cout = 0, S = 5fa9eb00
a = 43612820, b = 9136cd04, Cin = 0, Cout = 0, S = d497f524
a = 43612820, b = 2a8a3b80, Cin = 0, Cout = 0, S = 6deb63a0
a = 43612820, b = 4068f5de, Cin = 0, Cout = 0, S = 83ca1dfe
a = 43612820, b = b469dcff, Cin = 0, Cout = 0, S = f7cb051f
a = 43612820, b = 1d62204b, Cin = 0, Cout = 0, S = 60c3486b
a = 43612820, b = eba8454b, Cin = 0, Cout = 1, S = 2f096d6b
a = 43612820, b = ed8fc5f5, Cin = 0, Cout = 1, S = 30f0ee15
a = 43612820, b = ec03ab1d, Cin = 0, Cout = 1, S = 2f64d33d
a = 43612820, b = 61c1a992, Cin = 0, Cout = 0, S = a522d1b2
a = 43612820, b = 61a3a813, Cin = 0, Cout = 0, S = a504d033
a = 43612820, b = 6faec648, Cin = 0, Cout = 0, S = b30fee68
a = 43612820, b = 1f79af1d, Cin = 0, Cout = 0, S = 62dad73d
a = 43612820, b = c76a69a5, Cin = 0, Cout = 1, S = 0acb91c5
a = 43612820, b = 308f4b4b, Cin = 0, Cout = 0, S = 73f0736b
a = 43612820, b = 27f8eb5e, Cin = 0, Cout = 0, S = 6b5a137e
a = 43612820, b = 3fdd76cc, Cin = 0, Cout = 0, S = 833e9eec
a = 43612820, b = 608e3420, Cin = 0, Cout = 0, S = a3ef5c40
a = 43612820, b = 16122bea, Cin = 0, Cout = 0, S = 5973540a
a = 43612820, b = 3a354c1e, Cin = 0, Cout = 0, S = 7d96743e
a = 43612820, b = 001c91c2, Cin = 0, Cout = 0, S = 437db9e2
a = 43612820, b = 53a5f236, Cin = 0, Cout = 0, S = 97071a56
a = 43612820, b = 21cc01c6, Cin = 0, Cout = 0, S = 652d29e6
a = 43612820, b = 6ae02c17, Cin = 0, Cout = 0, S = ae415437
a = 43612820, b = 3928c908, Cin = 0, Cout = 0, S = 7c89f128
a = 43612820, b = 3cf312ca, Cin = 0, Cout = 0, S = 80543aea
a = 43612820, b = c7f6d3dc, Cin = 0, Cout = 1, S = 0b57fbfc
a = 43612820, b = d231a019, Cin = 0, Cout = 1, S = 1592c839
a = ed72357f, b = 000fd750, Cin = 0, Cout = 0, S = ed820ccf
a = ed72357f, b = 00046831, Cin = 0, Cout = 0, S = ed769db0
a = ed72357f, b = 000d8e15, Cin = 0, Cout = 0, S = ed7fc394
a = ed72357f, b = aa21deaf, Cin = 0, Cout = 1, S = 9794142e
a = ed72357f, b = 33b278c3, Cin = 0, Cout = 1, S = 2124ae42
a = ed72357f, b = 627ecaf3, Cin = 0, Cout = 1, S = 4ff10072
a = ed72357f, b = 34d72f2d, Cin = 0, Cout = 1, S = 224964ac
a = ed72357f, b = e2e08ab9, Cin = 0, Cout = 1, S = d052c038
a = ed72357f, b = 2f2bb91f, Cin = 0, Cout = 1, S = 1c9dee9e
a = ed72357f, b = 758e1030, Cin = 0, Cout = 1, S = 630045af
a = ed72357f, b = fb5d968d, Cin = 0, Cout = 1, S = e8cfcc0c
a = ed72357f, b = 3e4aff0f, Cin = 0, Cout = 1, S = 2bbd348e
a = ed72357f, b = ff2394c7, Cin = 0, Cout = 1, S = ec95ca46
a = ed72357f, b = ce62f445, Cin = 0, Cout = 1, S = bbd529c4
a = ed72357f, b = 52448c87, Cin = 0, Cout = 1, S = 3fb6c206
a = ed72357f, b = dbd68233, Cin = 0, Cout = 1, S = c948b7b2
a = ed72357f, b = 43612820, Cin = 0, Cout = 1, S = 30d35d9f
a = ed72357f, b = ed72357f, Cin = 0, Cout = 1, S = dae46afe
a = ed72357f, b = c9cf911c, Cin = 0, Cout = 1, S = b741c69b
a = ed72357f, b = f2332a08, Cin = 0, Cout = 1, S = dfa55f87
a = ed72357f, b = 9a071031, Cin = 0, Cout = 1, S = 877945b0
a = ed72357f, b = ceda8cdd, Cin = 0, Cout = 1, S = bc4cc25c
a = ed72357f, b = 15f57248, Cin = 0, Cout = 1, S = 0367a7c7
a = ed72357f, b = 08e09e65, Cin = 0, Cout = 0, S = f652d3e4
a = ed72357f, b = 87cefc84, Cin = 0, Cout = 1, S = 75413203
a = ed72357f, b = 17b0d618, Cin = 0, Cout = 1, S = 05230b97
a = ed72357f, b = dfaa6851, Cin = 0, Cout = 1, S = cd1c9dd0
a = ed72357f, b = ed3e55e9, Cin = 0, Cout = 1, S = dab08b68
a = ed72357f, b = e3b77c09, Cin = 0, Cout = 1, S = d129b188
a = ed72357f, b = e8210362, Cin = 0, Cout = 1, S = d59338e1
a = ed72357f, b = bf4a55f3, Cin = 0, Cout = 1, S = acbc8b72
a = ed72357f, b = 740ef8da, Cin = 0, Cout = 1, S = 61812e59
a = ed72357f, b = 9755e11a, Cin = 0, Cout = 1, S = 84c81699
a = ed72357f, b = 1d63ec61, Cin = 0, Cout = 1, S = 0ad621e0
a = ed72357f, b = 79260977, Cin = 0, Cout = 1, S = 66983ef6
a = ed72357f, b = 04095c7e, Cin = 0, Cout = 0, S = f17b91fd
a = ed72357f, b = ea50f8c7, Cin = 0, Cout = 1, S = d7c32e46
a = ed72357f, b = de4f6266, Cin = 0, Cout = 1, S = cbc197e5
a = ed72357f, b = f108a503, Cin = 0, Cout = 1, S = de7ada82
a = ed72357f, b = e1c38706, Cin = 0, Cout = 1, S = cf35bc85
a = ed72357f, b = b4508388, Cin = 0, Cout = 1, S = a1c2b907
a = ed72357f, b = 2923b07c, Cin = 0, Cout = 1, S = 1695e5fb
a = ed72357f, b = 2e9feadc, Cin = 0, Cout = 1, S = 1c12205b
a = ed72357f, b = f3391327, Cin = 0, Cout = 1, S = e0ab48a6
a = ed72357f, b = 62fd14a5, Cin = 0, Cout = 1, S = 506f4a24
a = ed72357f, b = d0f29a5b, Cin = 0, Cout = 1, S = be64cfda
a = ed72357f, b = 2360e2c1, Cin = 0, Cout = 1, S = 10d31840
a = ed72357f, b = be7fa709, Cin = 0, Cout = 1, S = abf1dc88
a = ed72357f, b = 6cc8f43c, Cin = 0, Cout = 1, S = 5a3b29bb
a = ed72357f, b = 02bca031, Cin = 0, Cout = 0, S = f02ed5b0
a = ed72357f, b = a40a0df1, Cin = 0, Cout = 1, S = 917c4370
a = ed72357f, b = b1921498, Cin = 0, Cout = 1, S = 9f044a17
a = ed72357f, b = 90de4f58, Cin = 0, Cout = 1, S = 7e5084d7
a = ed72357f, b = bbd44d10, Cin = 0, Cout = 1, S = a946828f
a = ed72357f, b = 641400b3, Cin = 0, Cout = 1, S = 51863632
a = ed72357f, b = aadb2c18, Cin = 0, Cout = 1, S = 984d6197
a = ed72357f, b = 4b364f61, Cin = 0, Cout = 1, S = 38a884e0
a = ed72357f, b = 1430c55d, Cin = 0, Cout = 1, S = 01a2fadc
a = ed72357f, b = 365a463f, Cin = 0, Cout = 1, S = 23cc7bbe
a = ed72357f, b = 38e6d312, Cin = 0, Cout = 1, S = 26590891
a = ed72357f, b = 4d9384e9, Cin = 0, Cout = 1, S = 3b05ba68
a = ed72357f, b = 6e7969bb, Cin = 0, Cout = 1, S = 5beb9f3a
a = ed72357f, b = 5a0090e2, Cin = 0, Cout = 1, S = 4772c661
a = ed72357f, b = f79548e7, Cin = 0, Cout = 1, S = e5077e66
a = ed72357f, b = f8da31b7, Cin = 0, Cout = 1, S = e64c6736
a = ed72357f, b = d3f902b6, Cin = 0, Cout = 1, S = c16b3835
a = ed72357f, b = 17479f9b, Cin = 0, Cout = 1, S = 04b9d51a
a = ed72357f, b = afe62522, Cin = 0, Cout = 1, S = 9d585aa1
a = ed72357f, b = d6580ac2, Cin = 0, Cout = 1, S = c3ca4041
a = ed72357f, b = c7b09cf5, Cin = 0, Cout = 1, S = b522d274
a = ed72357f, b = d01b45ea, Cin = 0, Cout = 1, S = bd8d7b69
a = ed72357f, b = 5bb4054a, Cin = 0, Cout = 1, S = 49263ac9
a = ed72357f, b = 46cab7fb, Cin = 0, Cout = 1, S = 343ced7a
a = ed72357f, b = 01afc5f2, Cin = 0, Cout = 0, S = ef21fb71
a = ed72357f, b = d60ff0ae, Cin = 0, Cout = 1, S = c382262d
a = ed72357f, b = 1c48c2e0, Cin = 0, Cout = 1, S = 09baf85f
a = ed72357f, b = 9136cd04, Cin = 0, Cout = 1, S = 7ea90283
a = ed72357f, b = 2a8a3b80, Cin = 0, Cout = 1, S = 17fc70ff
a = ed72357f, b = 4068f5de, Cin = 0, Cout = 1, S = 2ddb2b5d
a = ed72357f, b = b469dcff, Cin = 0, Cout = 1, S = a1dc127e
a = ed72357f, b = 1d62204b, Cin = 0, Cout = 1, S = 0ad455ca
a = ed72357f, b = eba8454b, Cin = 0, Cout = 1, S = d91a7aca
a = ed72357f, b = ed8fc5f5, Cin = 0, Cout = 1, S = db01fb74
a = ed72357f, b = ec03ab1d, Cin = 0, Cout = 1, S = d975e09c
a = ed72357f, b = 61c1a992, Cin = 0, Cout = 1, S = 4f33df11
a = ed72357f, b = 61a3a813, Cin = 0, Cout = 1, S = 4f15dd92
a = ed72357f, b = 6faec648, Cin = 0, Cout = 1, S = 5d20fbc7
a = ed72357f, b = 1f79af1d, Cin = 0, Cout = 1, S = 0cebe49c
